month,day,Los Angeles,New York City
1,1,48,33
1,2,50,39
1,3,52,38
1,4,56,49
1,5,66,35
1,6,71,21
1,7,69,16
1,8,63,15
1,9,64,26
1,10,58,20
1,11,60,28
1,12,60,37
1,13,61,27
1,14,60,24
1,15,64,30
1,16,64,32
1,17,64,25
1,18,64,37
1,19,61,39
1,20,58,36
1,21,63,31
1,22,61,36
1,23,63,34
1,24,66,36
1,25,66,37
1,26,69,27
1,27,66,25
1,28,66,25
1,29,68,28
1,30,65,29
1,31,64,20
2,1,63,28
2,2,65,24
2,3,62,20
2,4,64,34
2,5,68,28
2,6,65,20
2,7,62,33
2,8,68,33
2,9,66,27
2,10,66,33
2,11,70,28
2,12,71,28
2,13,73,15
2,14,71,24
2,15,67,15
2,16,63,12
2,17,64,21
2,18,65,26
2,19,65,18
2,20,63,11
2,21,63,23
2,22,59,38
2,23,58,23
2,24,60,14
2,25,62,29
2,26,61,27
2,27,61,24
2,28,59,21
3,1,58,28
3,2,56,33
3,3,58,30
3,4,60,40
3,5,64,30
3,6,66,20
3,7,70,28
3,8,66,43
3,9,65,47
3,10,68,46
3,11,67,52
3,12,71,42
3,13,76,37
3,14,78,46
3,15,79,40
3,16,78,44
3,17,73,46
3,18,69,34
3,19,68,36
3,20,69,34
3,21,69,38
3,22,66,36
3,23,65,31
3,24,67,36
3,25,72,42
3,26,77,52
3,27,77,43
3,28,71,33
3,29,67,36
3,30,68,45
3,31,65,41
4,1,66,42
4,2,65,54
4,3,72,62
4,4,72,51
4,5,64,52
4,6,60,53
4,7,59,52
4,8,60,41
4,9,65,40
4,10,63,48
4,11,63,51
4,12,67,55
4,13,67,59
4,14,66,60
4,15,69,62
4,16,68,58
4,17,69,63
4,18,69,70
4,19,65,56
4,20,63,52
4,21,63,59
4,22,63,59
4,23,62,47
4,24,62,46
4,25,61,50
4,26,66,55
4,27,70,56
4,28,77,61
4,29,75,64
4,30,73,58
5,1,71,56
5,2,70,61
5,3,66,66
5,4,63,71
5,5,63,76
5,6,63,66
5,7,60,68
5,8,57,69
5,9,62,64
5,10,63,72
5,11,67,77
5,12,65,75
5,13,64,62
5,14,61,62
5,15,61,65
5,16,64,66
5,17,65,74
5,18,66,68
5,19,65,70
5,20,65,61
5,21,64,57
5,22,63,65
5,23,64,60
5,24,64,69
5,25,64,75
5,26,64,78
5,27,65,78
5,28,66,78
5,29,68,75
5,30,68,76
5,31,66,72
6,1,67,55
6,2,68,53
6,3,68,61
6,4,66,60
6,5,67,63
6,6,65,68
6,7,69,65
6,8,73,71
6,9,74,76
6,10,68,74
6,11,69,81
6,12,68,81
6,13,68,79
6,14,70,77
6,15,70,74
6,16,70,72
6,17,70,74
6,18,72,68
6,19,70,78
6,20,74,70
6,21,73,80
6,22,73,79
6,23,74,83
6,24,73,76
6,25,72,74
6,26,69,75
6,27,70,65
6,28,77,68
6,29,80,70
6,30,78,75
7,1,70,81
7,2,70,82
7,3,72,78
7,4,72,70
7,5,75,72
7,6,73,75
7,7,77,81
7,8,77,81
7,9,75,80
7,10,76,78
